Personnality,Picture_found,Female,Male,Non-binary,Age,Female_AI,Male_AI,Non-binary_AI,Age_perceived_AI
Laverne Cox,1,1,0,0,52,1,0,0,20
Elliot Page,1,0,0,1,38,0,1,0,32
Janet Mock,1,1,0,0,42,0,1,0,55
Jazz Jennings,1,1,0,0,24,0,1,0,76
Hunter Schafer,1,1,0,0,26,0,1,0,20
Caitlyn Jenner,1,1,0,0,75,1,0,0,43
Marsha P. Johnson,1,1,0,0,45,0,1,0,55
Sylvia Rivera,1,1,0,0,43,0,1,0,20
Christine Jorgensen,1,1,0,0,28,0,0,0,0
Lea T,1,1,0,0,39,0,0,1,55
Andreja Pejić,1,1,0,0,33,0,1,0,32
Chella Man,1,0,0,1,19,0,1,0,55
Ian Harvie,1,0,1,0,56,0,1,0,56
Alex Blue Davis,1,0,1,0,42,0,1,0,32
Zackary Drucker,1,1,0,0,42,0,1,0,42
Hari Nef,1,1,0,0,32,0,1,0,20
Jamie Clayton,1,1,0,0,47,0,1,0,45
Trace Lysette,1,1,0,0,43,0,1,0,55
Laith Ashley,1,0,1,0,35,0,1,0,66
Angelica Ross,1,1,0,0,44,1,0,0,44
Lucas Silveira,1,0,1,0,45,0,1,0,20
Aaron Philip,1,0,0,1,24,0,1,0,24
Aydian Dowling,1,0,1,0,37,0,1,0,20
Billy Tipton,1,0,1,0,30,0,1,0,34
Sophia Hutchins,1,1,0,0,22,0,1,0,20
Josie Totah,1,1,0,0,23,0,1,0,23
Balian Buschbaum,1,0,1,0,44,0,1,0,20
Chaz Bono,1,0,1,0,56,0,1,0,20
Kim Petras,1,1,0,0,32,0,1,0,55
Buck Angel,1,0,1,0,62,0,1,0,76
Thomas Beatie,1,0,1,0,52,0,1,0,16
Ryan Cassata,1,0,1,0,31,0,1,0,34
Teddy Geiger,1,1,0,0,36,0,1,0,36
Valentina Sampaio,1,1,0,0,28,0,1,0,20
Alexis Arquette,1,1,0,0,40,1,0,0,20
Carmen Carrera,1,1,0,0,40,0,1,0,32
Tiq Milan,1,0,0,1,30,0,1,0,76
Dominique Jackson,1,1,0,0,50,0,1,0,55
Gigi Gorgeous,1,1,0,0,33,0,0,1,32
Chris Mosier,1,0,1,0,45,0,1,0,76
Miss Major Griffin-Gracy,1,1,0,0,84,0,1,0,20
Asia Kate Dillon,1,0,0,1,40,0,1,0,40
Brian Michael Smith,1,0,0,1,42,0,1,0,20
Kat Blaque,1,0,0,1,34,0,0,0,0
Shakina Nayfack,1,0,0,1,44,1,0,0,20
Renée Richards,1,1,0,0,90,0,1,0,65
Ian Alexander,1,0,0,1,24,0,1,0,76
Charlie Jane Anders,1,0,0,1,55,1,0,0,45
Ben Barres,1,0,0,1,60,0,1,0,45
Georgina Beyer,1,1,0,0,65,0,1,0,45
Kai Shappley,1,1,0,0,13,0,1,0,76
Eli Erlick,1,1,0,0,29,0,1,0,20
Lana Wachowski,1,1,0,0,59,1,0,0,32
Lilly Wachowski,1,1,0,0,57,0,1,0,57
MJ Rodriguez,1,1,0,0,34,0,1,0,20
Peppermint,1,1,0,0,45,1,0,0,55
Rebecca Root,1,1,0,0,55,1,0,0,76
Loren Cameron,1,0,1,0,63,0,1,0,63
Pidgeon Pagonis,1,0,0,1,39,0,1,0,39
Jazzmun,1,1,0,0,56,0,1,0,55
Fox Fisher,1,0,0,1,45,0,1,0,20
Neon Yang,1,0,0,1,42,0,1,0,55
Leo Sheng,1,0,1,0,29,0,1,0,34
Munroe Bergdorf,1,1,0,0,37,0,1,0,55
Mara Keisling,1,1,0,0,65,0,1,0,20
Juno Dawson,1,1,0,0,43,0,1,0,76
Erin Reed,1,1,0,0,37,0,1,0,20
Chella Coleman,1,1,0,0,29,1,0,0,34
Tom Reucher,1,0,1,0,55,0,1,0,76
Jesse James Keitel,1,1,0,0,31,0,0,1,20
Skylar Kergil,1,0,1,0,33,0,1,0,55
Raffi Freedman-Gurspan,1,1,0,0,37,1,0,0,32
Mimi Marks,1,1,0,0,58,0,1,0,20
Thanuja Singam,1,1,0,0,33,1,0,0,20
Dorian Rhea Debussy,1,0,0,1,32,0,1,0,34
Evie Shockley,1,1,0,0,60,0,0,1,60
Travis Alabanza,1,0,0,1,29,0,1,0,20
Brielle Riche,1,1,0,0,29,0,1,0,55
Max Wolf Valerio,1,0,1,0,68,0,1,0,76
Morgane Oger,1,1,0,0,57,0,1,0,57
Arin Andrews,1,0,1,0,29,0,1,0,20
Katie Rain Hill,1,1,0,0,30,0,1,0,55
Schuyler Bailar,1,0,1,0,28,0,1,0,55
Jake Graf,1,0,1,0,46,0,1,0,32
AJ Clementine,1,1,0,0,29,0,1,0,29
Dominique Morgan,1,1,0,0,42,0,0,1,20
Nyke Prince,1,1,0,0,29,0,1,0,55
Kay Gabriel,1,1,0,0,32,0,1,0,20
Lil Miss Hot Mess,1,1,0,0,41,0,1,0,55
Sophie Labelle,1,1,0,0,36,1,0,0,20
Venus Envy,1,1,0,0,33,0,1,0,32
Zoe Luna,1,1,0,0,23,0,1,0,23
Mitch Kellaway,1,0,1,0,,0,1,0,76
Milana Petrova,1,1,0,0,28,0,1,0,20
J Mase III,1,0,1,0,40,0,1,0,40
Micha Cárdenas,1,1,0,0,48,0,0,1,76
Alok Vaid-Menon,1,0,0,1,33,0,1,0,55
Saeed Jones,1,0,1,0,39,0,1,0,55
Noah Adams,1,0,1,0,25,0,1,0,25
Riley J. Dennis,1,1,0,0,32,1,0,0,32
Thirza Cuthand,1,0,1,0,46,0,1,0,85
Kaitlyn Alexander,1,0,0,1,32,0,1,0,76
Karla Sofia Gascon,1,1,0,0,53,0,1,0,53
Leon Salin,1,0,1,0,28,0,1,0,28
Rahim Redcar,1,0,0,1,36,0,1,0,20